留言领域,留言类型,留言内容,回复内容
三农,投诉/求助,尊敬领导，我们农村去年修路自来水，水管都装好了，啥时候能通自来水。希望早日通自来水，自家水井经常缺水，很不便利。地址是信州区朝阳镇朝阳村王家桥。,网民您好，您反映的问题已收悉。经核实，朝阳镇自来水管网铺设于2024年4月完工，4个增压泵站于2024年11月完工，朝阳村已于2025年1月6日开始办理开户登记。
交通,建言,尊敬的书记您好，昨天（2024年12月30日）京蔚高速正式通车，对于张家口老百姓是非常值得庆幸的一个好消息。作为张家口西部地区的阳原县却并未受到大的便利，进京仍需向北走宣化，或向南折返蔚县后再走京蔚高速（三角区直线距离不足50km，却因折返需走90km）。因此，建议修建从阳原县三马坊乡村（宣大高速与张石高速交汇处）到涿鹿县太堡镇的连接线到太行山高速，这样可大大缩断阳原县乃至于大同方向的进京路程，对于实现阳原县的乡村振兴，促进地方经济社会和旅游业发展都是具有重要意义。,网民您好，您的建言已收悉，您建议修建阳原县进京联络线问题，工作人员就相关政策依据和您做了详细解释，感谢您对我们工作的支持！
企业,投诉/求助,领导，您好。投诉某停车场收费方，停车场月卡收费对个别业主收取600元/月的高价，停车场月卡对2栋*座业主收费标准为250元/月，但是部分业主入住后申请月卡，被告知必须付600元/月的高价。请政府要求提供书面说明：停车场月卡是否存在250元/月的价格？请政府对该公司的价格违法行为进行严厉处罚，并要求退还所有多收取的停车费用。,市民您好！您在人民网的留言内容（编号：552502010928001140901）我局已收悉。具体答复内容如下：深圳市软件产业基地停车场具备停车场收费许可，定价方式为市场调节价，标准月卡收费600元/月，夜间优惠月卡（19:00-次日8:00）收费250元/月，未发现存在价格违法的情况，因举报不符合《市场监督管理行政处罚程序规定》第十九条第一款关于立案的规定，我局决定不予立案。因您所留联系方式无法正常取得联系，依据《市场监督管理投诉举报处理暂行办法》第二十一条第一款第（三）项的规定，我局决定终止调解。如后续对留言反映事件有新的疑问或诉求，可通过以下方式联系我局（联系人：刘先生，联系电话：0755-26632063），也可重新提交投诉后保持电话畅通，以便我局及时开展调解工作。感谢您对我们工作的支持！深圳市市场监督管理局南山监管局
体育,投诉/求助,今年4月，在泉塘小区的篮球场上，横板村委花巨资安装了篮球场防护网，消除了安全隐患，但是，这个广场上仅只有篮球架，别的体育健身器材都没有。\r在离广场不到30米的地方有一处已烂尾5年了的违法建筑，这建筑旁边杂草丛生，内面堆满了各种建筑垃圾和生活垃圾，给小区带来了脏、乱、差的环境。\r现我建议有关部门拆除这违法建筑，并在此处设立各种健身器材，这样即可增强居民的身体素质，又可以给居民带来优美的生活环境。,
医疗,投诉/求助,反映一个关于深圳一档医保门诊CT检查统筹比例的问题。根据相关规定，深圳一档医保在门诊进行CT检查应由医保统筹80%。然而，在深圳宝安区*医院，并未将相关文件通知到各科室的医生，导致我每次就医检查时，医生默认开具的是55%统筹的检查单。由于这一问题，我不得不在看病后额外前往医保科和人工收费窗口办理退费，每次都要耗费数小时，严重影响就医体验。此外，工作人员态度不佳，未能高效、规范地按照规定办理签字退费。而人工窗口的收费人员虽然态度良好，但业务不够熟练，退费过程繁琐且耗时较长。希望有关部门关注此事，并督促医院严格执行医保政策，确保医生正确开具符合医保规定的检查单，避免患者遭受不必要的时间和精力损失。同时，希望能加强对工作人员的业务培训和服务管理，提高服务效率和质量。,尊敬的市民您好，您反映的“在松岗人民医院CT检查的医保报销比例”事项内容已收悉，我局高度重视。经调查，现答复如下：根据《深圳市医疗保障办法》第三十三条规定，职工基本医疗保险一档参保人在市内定点医疗机构门诊发生的大型医疗设备检查费用和治疗（其中包括CT检查）所发生的基本医疗费用，由职工基本医疗保险统筹基金按照80%的比例支付。剩余20%的费用若通过医保个人账户支付，需要市民在深圳医保“家庭共济”模块进行“个人账户活化使用”操作。经核实，松岗人民医院在您诊疗过程中，确实存在医生对政策不熟悉，CT检查费用未按照特检项目80%比例进行医保报销情况，医院已重新按特检通道报销您CT检查的费用，并将相关费用退回到您医保个人账户。我局已督促医院加强同您的沟通，改进提升服务。2025年2月2日医院已同您电话沟通解释。医院对全院医务人员进行了特检项目医保政策再宣传，对耳鼻喉科医务人员进行专门培训，将相关医保政策进行了详细解读。同时医院对医保窗口和收费窗口工作人员进行教育培训，要求增强服务意识，提升患者就医体验。如果您对答复有疑问，可联系我局咨询（29981464），我局将积极反馈处理。祝您健康。
城建,咨询,址舫头凌云街片区改造项目进展到什么程度了？事至如今已经13年了！希望领导关注一下此事，谢谢了！！！,网民您好！经莲池区联盟路街道核实，目前市城改办计划将凌云街片区改造项目拆迁安置纳入政府异地安置，计划利用城改超配房进行安置。2024年12月11日联盟路街道办事处已将签署协议的居民进行登记资料，12月18日登记结束。目前正在与第三方公司进行资料的整理。请您耐心等待。
就业,投诉/求助,在校期间在北京打暑假工时交了一个月社保，现想要参加公务员事业单位考试，想要了解一下这对考试及其他是否有影响，能否正常报名参加考试。,网民您好！经核实，您所述情况，不影响您应届生身份，您可以根据考试公告要求进行报名。组织部工作人员已就相关情况与您进行了详细解释说明。今后如咨询邢台市公务员考试有关政策，可拨打电话0319-3699306。感谢您对我们工作的支持。
政务,投诉/求助,领导好，我想咨询一下成年人如果改名需要哪些资料。,人民网网友：您好！您的留言已收悉。现答复如下：关于成年人变更姓名问题，建议网友到户籍所在地公安派出所填报姓名变更登记申请，由工作人员审核办理，详情请致电会宁县公安局，联系电话0943-5904036。感谢网友对我们工作的关心和支持。中共会宁县委办公室
教育,投诉/求助,最近一两年我们的城市发展壮大的很快，北边建了很多的街道，这个很好，但是名字都起的是经呀纬呀什么的。新建的街道可能名字没有来得及起，暂时起个经纬可以理解，原来有的街道名字也变成了经纬，坐公交车好多原来的路口都变成了什么经纬路口，搞得都摸不着地方了。建议能够发表一个倡议，把我们的学校，街道从改一个好的名字容易记住的名字开始，有文化品味和传承名字。,网民朋友：您好！您的留言已经收悉。针对您反映的问题，我们第一时间向市民政局进行了转办，目前已进入受理程序，请您耐心等待进展情况。同时，我们也希望您继续关注和支持我市的发展，对我们的工作提出更多宝贵的意见和建议。祝您在新的一年里工作顺利，幸福安康！
文娱,咨询,您好，报道说截止2024年山西省已开放156所低免体育场，请问太原市有哪些低免开放体育场，公布一下名单谢谢,网友您好！收悉您的留言后，我中心高度重视，认真研判，并按照有关规定转派至市体育局办理，现将具体情况反馈如下：关于咨询太原市体育场低免开放情况事宜，经了解，太原市体育局始终积极响应国家全民健身号召，致力于为广大市民提供优质的体育健身服务，目前市属公共体育场馆仅滨河体育中心一家。为更好地满足市民的健身需求，滨河体育中心积极落实“免费或低收费”政策原则，全年对外开放，并制定了具体举措。开放时间方面：结合晨练、节假日及场馆活动等具体情况，灵活安排。其中羽毛球、篮球项目正常开放时间为早8：00-晚9：30，周六、日早上提前至6：30；游泳馆全年早上7：00对外开放，晚9：30闭馆，确保市民能够在不同时间段进行锻炼。优惠政策方面：在“全民健身日”当天，所有活动项目均免费开放，让市民能够尽情享受运动的乐趣；在“八一”建军节当天，现役、退役军人均可免费参与各项活动，以此表达对军人的崇高敬意；此外，乒乓球、羽毛球、网球等项目在周一至周五上午对普通市民实施半价优惠，持有效证件（如学生证、老年证、残疾人证、现役军人证）的人员可全天享受半价优惠，大大降低了市民的健身成本。体育场馆低免开放政策对于提升市民身体素质、促进全民健身具有积极而深远的影响，太原市体育局将持续加强对市属体育场馆的管理和指导力度，推动其不断完善服务设施，为市民提供更加优质、便捷的体育健身服务。真诚地希望您继续关心太原的经济社会发展，并对相关工作予以监督，感谢您对我们工作的理解与支持！
旅游,建言,近年来老城厢建设日新月异，对常州历史城区的保护也成绩斐然，然而划定常州历史城区范围的城门却不见踪影，目前仅剩通吴门，西瀛门以及跟随夏家大院一起修复的朝京门，类似小东门，广化门，青山门，和政门，大观门，中山门，德安门等城门要么仅剩与之相关的桥名和地名，要么连名字都不复存在。近来在德安门附近已经在墙上有了德安门相关的壁画，希望能够进一步利用原址附近的绿地资源，例如桃园新村与运河之间的绿地，像朝京门和通吴门一样进行适当复建，其他城门也是如此，实在没有条件的城门原址希望也能进行标注，使得老城厢的重要历史记忆重新拥有现实承载。,网友您好，感谢您对历史文物保护提出的意见。在《常州历史文化名城保护规划》中明确要求，历史城区内建立有地方特色的标识系统，需重点突出城垣形制、历史街区、文物古迹等历史文化资源。建议中提出的小东门、广化门、青山门等属于已消失的重要历史文化资源，将按照历史城区标识系统的规划要求，在原址或者附近设置展示相关信息的标识。
治安,建言,太原志达中学北侧道路（即南中环与坞城路交叉路口西南角），于每日晚7~9点放学期间，家长车辆占用3~4车道（共4车道），导致南中环西向东整条道路交通极度拥堵。建议对停车位置进行限制，如可停车占用2车道，或者安排专人疏导。,热心网友您好！首先非常感谢您对太原社会事业发展的关心。现就您所提问题答复如下：经市交警支队核实：南中环与坞城路交叉口西南角停放车辆为接送学生家长机动车，辖区五中队已加派警力加大上下学期间该路段的巡逻管控力度，及时疏导，提醒相关车辆及时驶离，避免造成拥堵。在此，真诚希望您继续关心太原经济社会发展，并对相关工作予以监督，提出宝贵意见建议。
环保,投诉/求助,尊敬的领导，孤*城集团，长期有那么几个国四车辆来我村拉矿粉，车辆冒黑烟，对我村环境造成不可挽回的污染。,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！
三农,投诉/求助,去年说五一前必须修了，到目前一直没有动静，恳请尽快落实处理。,
交通,投诉/求助,我们回家的道路曲折艰难，希望能在我们把毛路弄好的情况下能适当的帮助，希望书记给与支持。,网友：你好!你留言已收悉，现将有关情况回复如下：经实地踏验，你反映的道路位于碧玉村（原玛瑙村）11社，该道路系你家入户路，长度约为800米。目前入户路未纳入补助范畴，由村民申请自规、农业等部门现场勘验，在不占用耕地、基本农田的情况下自行修建、管理。平昌县土兴镇人民政府2025年2月10日
企业,投诉/求助,最近三四年供暖一直不达标，多次与供暖单位人员反映无改善。今年供暖季开始后依然不达标，后向供暖单位反映多次无果。供暖单位员工也多次上门实地查看，但供暖温度依旧，于24年12月开始测温退费，12月测温两次均未达标。整个25年1月到当前为止，供暖单位没有进行测温，也无人与我联系。,您好！2025年2月6日祝家供热公司工作人员入户测温，室内暖气热，但温度不达标。供热公司将严格按照政府文件【辽宁省城市供热住宅室温检测及退费规定】执行，每十天测量一次，温度在16℃（含16℃）以上18℃以下，供热单位按认定不合格天数收费额的40%向用热户退费；温度在16℃以下，按认定不合格天数收费额全额退费。
医疗,投诉/求助,我是成都市武侯区四川*医院的一名患者家属，因《彩超报告单》上的图像被严重缩小导致看不清，现特申请医院打印医院医学影像数据记录系统上2024年3月6日15点23分和2024年3月14日15点39分的所做的两次心脏彩超检查的“心脏彩超检查的原始图像资料”。若DICOM格式的原始数据无法直接打印，医院可将该数据发送至我的邮箱，或我自行携带U盘前往医院进行拷贝。对于JPEG格式与PNG格式的原始图像，则恳请医院直接为我打印出来。,网友您好，您在人民网留言反映四川*医院相关问题，经区卫健局调查，现回复如下：关于您反映“四川*医院《彩超报告单》上的图像被严重缩小导致看不清，现特申请四川*医院打印医院医学影像数据记录系统上2024年3月6日15点23分和2024年3月14日15点39分的所做的两次心脏彩超检查的‘心脏彩超检查的原始图像资料’”的问题。经调查，四川*医院同意给您打印心脏彩超检查的原始图像资料。区卫健局工作人员于2025年2月6日11时8分通过电话对您进行了回复，您表示时间方便时前往四川*医院打印心脏彩超检查的原始图像资料。区卫健局已要求该医院加强管理，提高服务质量。建议您也可通过医患双方自愿协商，申请人民调解，申请行政调解，向人民法院提起诉讼和法律、法规规定的其他途径维权。若有其他疑问，也可直接向区卫健局进行反映（电话：028-85087326）。感谢您对我们工作的支持。
城建,投诉/求助,雨润星雨府2期5-11号楼房产证己过约定下证时间，多次催地产仍未办理下来是什么原因，什么时间能办理下来。,尊敬的网民，您好。2024年8月20日，该小区开发单位申请对5#、6#、7#、8#、9#、10#、11#等7栋住宅进行联合验收。但因未通过消防验收，故未开展下步工作。待该小区符合验收条件后，长春市相关职能部门将及时推动该小区产权办理工作。
就业,咨询,领取失业金需要提交什么材料？线上可以办理吗？怎么办理？如果企业选择停交社保的原因和离职证明上的原因不一致怎么办？以哪个为准？,尊敬的网民：您好！您反映的问题，兰山区人社局社保失业股进行了调查处理，现回复如下：关于您反映的问题，工作人员2025年6月6日与您进行了联系，根据您提供的身份信息，在社保系统中查询到，您目前是在职人员，还未失业，不符合领取失业金条件。关于您咨询的问题，现做如下回复：1、根据《山东省失业保险省级统筹经办规程》第四十一条：在终止或者解除劳动合同、单位办理社保减员业务后，失业人员可通过国家社会保险公共服务平台等网上平台或电子社保卡签领渠道、手机APP申领失业保险金；不方便线上申领的，可选择到最后参保地的失业保险经办机构现场提出申请，现场申领需携带身份证或社会保障卡；2、如果企业工作人员提交减员原因错误，可携带解除合同证明到征缴窗口修改减员原因。如果后续您仍有疑问，请致电兰山区人社局0539-8208700咨询。感谢您的留言，欢迎多提宝贵意见和建议，祝您生活愉快！
政务,投诉/求助,老家位于麻城市铁门岗乡吴李村胡垸，某通信公司信号差，无法上网。建议在附近增加基站，解决问题。,您好，您反映的问题属实。铁门岗乡吴李村位于麻城与新洲区交界处，因两地分属不同的运营公司，网络覆盖范围和信号强度存在差异，存在抢信号的问题。受限于地理环境等客观因素，增加建基站仍无法彻底解决问题。此前，几大运营公司均已派人进行了实地勘测，后续将进一步跟进此问题，并做好网络信号维护工作。感谢您的宝贵意见，祝您生活愉快！
教育,投诉/求助,尊敬的领导，您好。我是上饶市玉山县冰溪镇居民，有个十一岁女孩需要转学。前几年和她妈妈分开，抚养权给她在必姆镇读书。由于女孩身体不好，她妈妈把抚养权给我。现在需要从必姆镇转到冰溪镇读书，家里条件不好，希望领导帮帮我，谢谢。,网友您好！您的留言已由玉山县了解核处，现将有关情况回复如下：经了解，您与其妻子已离婚，女儿归女方抚养，因女方无力承担女儿后续生活，将抚养权转给您，您目前生活在玉山县城内，您女儿在玉山县必姆镇必姆中心小学就读。根据玉山县主城区转学办法，并结合您的实际情况，玉山县教育体育局已将您的女儿转至凤*小学上学。（上饶市委办公室）
文娱,投诉/求助,广汉夜市，现在是一座美食的宝藏之地，每当夜幕降临，便吸引着无数食客纷至沓来。烤串在炭火上滋滋冒油，散发着勾人魂魄的孜然香；酸辣粉红亮的汤汁，伴随着腾腾热气，诱惑着人们的味蕾，这里不仅美食琳琅满目，人潮更是熙熙攘攘。年轻人成群结队，老人们也漫步其中，感受着夜市的热闹氛围；孩子们在人群中穿梭，眼睛紧紧盯着心仪的小吃，满脸期待。然而，热闹之下，却潜藏着不容忽视的安全隐患――车流量过大，中间过道还不断有车辆穿梭。在人群密集的夜市，这些车辆的行驶与停靠，让本就拥挤的空间更加逼仄，给市民的人身安全带来威胁。希望相关部门重视，加强管理，合理规划交通，让广汉夜市在保持热闹与美味的同时，也能成为一个安全无忧的休闲好去处。,网民朋友：您好！您通过人民网领导留言板反映“广汉夜市隐患问题”的留言已收悉，现将相关情况回复如下:针对您反映的车辆乱停放情况很严重等相关事宜。我局交警大队立即安排辖区交警中队对夜市及周边交通秩序进行整治。对驾驶员在现场的教育后放行，对驾驶员不在现场的予以处罚。下一步，我局交警大队将增派警力对柳州路和顺德路周边交通秩序进行整治，并加大巡逻力度，保障该路段道路交通秩序通畅。我局交警大队二中队相关人员于2025年2月14日16时45分已与您电话联系，并说明相关情况。如您仍有疑问，可拨打电话0838-5255122进行咨询。感谢您的留言，祝您身体健康，生活愉快！广汉市公安局2025年2月18日
